Track Name,Artist,Album,Tempo,Duration,Video ID
Pachchai Vanna,Yuvan Shankar Raja;Madhan Karky,Vai Raja Vai (Original Motion Picture Soundtrack),120.031,4:15,vzrbuWGnbI4
Where Is the Party,Yuvan Shankar Raja;Mukesh;Priyadharshini;Silambarasan TR,Silambattam (Original Motion Picture Soundtrack),135.805,5:18,o3QMufOwuE8
Yedho Ondru Ennai,Yuvan Shankar Raja;Na.Muthukumar,Paiya (Original Motion Picture Soundtrack),119.98,3:33,gyfizhTrLrQ
"Eno Kangal (From ""Kalvanin Kadhali"")",Yuvan Shankar Raja;Na.Muthukumar;Sadhana Sargam,Kalvanin Kadhali (Original Motion Picture Soundtrack),109.998,5:30,Z5D3flwCfg0
Azhagho Azhaghu,Yuvan Shankar Raja;Naresh Iyer,Samar (Original Motion Picture Soundtrack),108.039,4:50,Dr_1s3mwOgc
En Kannodu,Yuvan Shankar Raja;Nidesh Gopalan,Arinthum Ariyamalum (Original Motion Picture Soundtrack),134.995,3:24,6J5HgnU_Wf8
Kannai Vittu,Yuvan Shankar Raja;Pa. Vijay,Pattiyal (Original Motion Picture Soundtrack),76.992,2:27,QsLOXFVZDz8
Vethalaiya Potendi,Yuvan Shankar Raja;Pa. Vijay;Shankar Mahadevan,Billa (Original Motion Picture Soundtrack),120.021,4:22,iqU9C0R6ITw
Seval Kodi,Yuvan Shankar Raja;Pa. Vijay;Vijay Yesudas,Billa (Original Motion Picture Soundtrack),131.034,4:52,TfdKurHaYlE
Adada Mazhaida,Yuvan Shankar Raja;Rahul Nambiar;Saindhavi;Na.Muthukumar,Paiya (Original Motion Picture Soundtrack),120.004,4:27,k7NfhqqlA0c
Unakkulle Mirugam,Yuvan Shankar Raja;Ranjith Govind,Billa 2 (Original Motion Picture Soundtrack),149.945,4:18,BsHfA8Ou3U0
"Oru Devathai (From ""Vaamanan"")",Yuvan Shankar Raja;Roop Kumar Rathod;Na.Muthukumar,All About Love: Yuvanshankar Raja,120.019,4:56,bTdDI00LRrs
En Jannal Vandha,Yuvan Shankar Raja;Roshini;Priya Hemesh;Divya Vijay,Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack),124.983,4:43,NfAA9FAaO7M
Hey Baby,Yuvan Shankar Raja;Shankar Mahadevan,Aegan (Original Motion Picture Soundtrack),,4:34,6mI19J1s6aA
Silambattam,Yuvan Shankar Raja;Shankar Mahadevan,Silambattam (Original Motion Picture Soundtrack),79.85,5:03,ujwjRyUMMLg
Loosu Pennae,Yuvan Shankar Raja;Silambarasan TR;Blaze,Vallavan (Original Motion Picture Soundtrack),191.943,6:51,s2si0jeYk00
Ammadi Aathadi,Yuvan Shankar Raja;Silambarasan TR;T. Rajendar;Suchitra,Vallavan (Original Motion Picture Soundtrack),161.773,5:30,9DT4CW4UmVM
"Kadhal Aasai (From ""Anjaan"")",Yuvan Shankar Raja;Sooraj Santhosh;Kabilan,My Playlist: Yuvanshankar Raja,73.226,5:03,MYQ4X52bZ2Y
"Aanandha Yaazhai (From ""Thangameenkal"")",Yuvan Shankar Raja;Sriram Parthasarathy,Take 10: Yuvanshankar Raja,120.011,3:37,k0yPQb08wkU
Gangster,Yuvan Shankar Raja;Stefny,Billa 2 (Original Motion Picture Soundtrack),121.993,4:07,jYHS4llPbpc
Iragai Poley,Yuvan Shankar Raja;Tanvi Shah,Naan Mahaan Alla (Original Motion Picture Soundtrack),115.004,5:17,RI2VQ8FIFVw
Engeyo Paartha,Yuvan Shankar Raja;Udit Narayan;Na.Muthukumar,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),119.994,5:20,JLWQ_mMGXI0
Kaadhal Vaithu,Yuvan Shankar Raja;Vijay Yesudas,Deepavali (Original Motion Picture Soundtrack),100.217,5:09,kROB184hbsA
Machaan Machaan,Yuvanshankar Raja,Silambattam (Original Motion Picture Soundtrack),,5:25,6vrBoLtuiKc
